Filename,UMAP_1,UMAP_2,UMAP_3
80-MFCC.csv,7.5889144,6.250638,3.4680307
81-MFCC.csv,5.850776,6.2682214,4.542752
82-MFCC.csv,7.859332,5.8457084,3.6151762
83-MFCC.csv,6.9993978,7.069906,3.7010334
84-MFCC.csv,7.0669303,7.193594,2.5678952
85-MFCC.csv,7.751203,2.1878855,5.0225606
86-MFCC.csv,7.572982,4.535014,6.0148473
87-MFCC.csv,6.02219,6.6895375,4.899887
88-MFCC.csv,6.9981112,4.036438,4.9473853
89-MFCC.csv,8.454663,3.6776204,6.0403976
90-MFCC.csv,5.700615,6.447007,4.4329324
91-MFCC.csv,8.092557,2.135625,4.8266616
92-MFCC.csv,7.1399174,5.3769336,4.0511794
93-MFCC.csv,7.097211,7.2277555,2.5561314
94-MFCC.csv,8.194158,4.8995986,4.629666
95-MFCC.csv,6.1642337,6.4555745,4.930607
96-MFCC.csv,7.007165,7.414112,2.9023433
97-MFCC.csv,7.143104,7.5030456,2.742738
98-MFCC.csv,7.566508,4.798714,5.443672
99-MFCC.csv,8.273782,2.251115,5.6614985
